X,Y
-1.411315686,2.344629785
-0.083918026,0.052652487
0.969563059,2.104355855
0.434772066,-1.77075373
1.501842168,0.92656836
-0.725098278,-0.26693091
1.324785137,1.5431229
-0.572585144,-0.886108118
1.469581794,1.222213205
-0.931446193,-0.516852875
0.973282528,1.388099518
0.173287263,-0.382456357
1.661956283,1.780681784
-1.310112507,-1.775630108
0.182192103,-0.78883247
0.973772285,0.643361672
0.506425167,0.638897785
1.435665236,1.228829082
-0.509207119,-0.050518044
1.571407681,1.754047173
-1.222084235,-1.52525059
0.377932427,-0.159724786
0.89054181,0.961568951
0.720315012,0.462982413
1.148308826,1.412164927
0.297481344,-0.261558725
1.655997498,1.831271852
-1.253083309,-1.865117217
0.32658147,-0.935692888
0.917419551,0.579116247
0.656315809,0.682039697
1.244475423,1.117679976
0.048175663,0.281710679
1.771021733,1.690153526
-1.722065278,-1.443179174
-1.034202302,-0.385011032
-0.186193986,0.688840937
1.055071109,1.12342999
0.230966759,0.384491476
1.663175689,1.619890353
-1.296863344,-1.145158413
0.217098173,0.484241703
0.96380938,0.889230709
0.536200931,0.720056082
1.401631375,1.217129181
-0.403710233,0.017840619
1.657507461,1.768731245
-1.468444052,-1.620761041
-0.259075695,-0.567874869
0.892346569,0.682476652
0.525994893,0.689382873
1.391033344,1.188065425
-0.377175296,0.069923041
1.6750488,1.767786883
-1.518941069,-1.618844144
-0.404667333,-0.606221995
0.780562029,0.610378822
0.669322719,0.791555458
1.186175706,1.006865679
0.193784009,0.529806764
1.71830047,1.513938603
-1.494421301,-0.89395155
-0.317804885,0.775900957
0.850673665,0.971068093
0.581012851,0.750590864
1.317626167,1.194121311
-0.16183486,0.122562068
1.769097328,1.761340196
-1.778255814,-1.672655399
-1.231464543,-0.96122324
-0.649981664,-0.160823091
0.608084474,1.044861605
0.835238774,0.49733056
0.884801533,1.378733714
0.86769788,0.002413009
0.912540849,1.812528563
0.827578563,-1.0362841
0.988875977,1.874249278
0.67039787,-1.560802247
1.247229489,1.33705145
0.045537963,-0.793497032
1.772095141,1.51767922
-1.726659799,-1.342182638
-1.049725519,-0.214490523
-0.219921605,0.858181029
1.036716832,1.080285923
0.259241729,0.514911512
1.643808776,1.527408515
-1.224334772,-0.870954508
0.394146999,0.93961617
0.877347712,0.52235156
0.748505093,1.312608646
1.10294444,0.218796556
0.408065091,1.645317435
1.564366213,-0.182880612
-0.924822122,2.026309448
1.014013907,0.348756845
0.094329161,1.765614761
1.695306181,-0.078328238
-1.4457643,1.995790458
-0.181642558,0.965005493
0.933276691,1.642892803
0.474501851,-0.40336705
1.454831001,1.914296626
-0.574182686,-1.92817387
1.506763543,-0.385985667
-1.04259118,1.052461418
0.765032694,1.323109518
0.501947623,0.349085942
1.377558392,1.647323691
-0.347082836,-0.977866361
1.692801022,1.258721922
-1.569700152,-0.761860923
-0.55611826,0.877144718
0.619822435,1.055791973
0.848984671,0.787799157
0.865171759,1.071045094
0.906173229,0.603861959
0.838401608,1.26173604
0.968934713,0.266931634
0.712686005,1.609827164
1.182759073,-0.360458058
0.214886777,2.042275964
1.708651395,-0.938371363
-1.455023556,2.423764958
-0.20449813,0.132513293
0.921673448,2.132792131
0.489168616,-1.7658548
1.4372161,0.992257304
-0.518839532,-0.343918078
1.56197037,1.548115049
-1.195403295,-1.110989436
0.439602073,0.581369877
0.848129029,0.771570391
0.812557772,0.948373498
0.994188575,0.799036924
0.655356408,0.964966689
1.268764551,0.863907442
-0.013156562,0.761279222
1.78045627,1.386198352
-1.773971498,-0.577352336
-1.212837995,1.123270934
-0.603167452,1.329580003
0.672337626,1.305464327
0.767011881,0.52442954
1.013394062,1.450459936
0.603136039,-0.216852964
1.340245137,1.880577637
-0.215316214,-1.673236785
1.755712469,0.432964044
-1.747121138,0.412765798
-1.125718529,1.823107885
-0.391378547,0.995642295
0.909107275,1.673736625
0.456110399,-0.437211764
1.464695486,1.914063759
-0.608499747,-1.947541451
1.469136704,-0.462622179
-0.940912578,1.066429026
0.955424531,1.237099902
0.204890192,0.370712039
1.644647368,1.665668075
-1.243397909,-1.245029495
0.347355851,0.350658293
0.90632454,0.904132088
0.682782583,0.686711877
1.205705307,1.201069537
0.151109488,0.160550232
1.738877515,1.735332655
-1.578362165,-1.566413139
-0.569563869,-0.542783224
0.60208835,0.627903666
0.866620458,0.851330976
0.829595486,0.856838136
0.971757467,0.933365823
0.704566072,0.767246289
1.195113891,1.116350285
0.18307261,0.338213486
1.725018587,1.647801506
-1.520767341,-1.279949737
-0.39522773,0.095787219
0.787564839,1.031297025
0.661173305,0.495869957
1.199119312,1.420878232
0.160464867,-0.306285903
1.73398682,1.806791189
-1.558570832,-1.88797818
-0.508946992,-1.299029032
0.67340171,-0.320173336
0.79384604,1.073200769
0.971828978,0.308086039
0.693702249,1.520708458
1.210325883,-0.166158028
0.143221931,1.94753525
1.742585243,-0.615479788
-1.593636751,2.360142716
-0.616902521,0.497454005
0.541340254,2.148839708
0.921879973,-1.272061389
0.712539392,1.877742345
1.168851606,-1.36980025
0.24754774,1.895241871
1.689375598,-0.979036793
-1.379725589,2.368545952
0.003169977,0.112814796
0.986072274,2.104268778
0.428612463,-1.770549936
1.512113039,0.921171517
-0.757902104,-0.262788364
1.279218313,1.539636464
-0.463770122,-0.840823323
1.568682767,1.319765344
-1.199896662,-0.764854106
0.430852832,1.037900876
0.854396839,0.420934503
0.799261891,1.439305596
1.017499481,-0.066286635
0.604473374,1.864754839
1.339861784,-0.8751363
-0.213887587,2.201544026
1.756210635,-0.944143889
-1.748442071,2.4948076
-1.130186485,0.397459467
-0.401854113,2.306200472
0.899457326,-0.551758061
0.470420284,2.203797474
1.448541954,-1.635844342
-0.557147708,2.008851984
1.524149018,-0.445788539
-1.090174541,2.260579478
0.668764175,0.094859664
0.625702116,2.040866485
1.209126114,-1.234834115
0.125724676,2.056745096
1.74693114,-1.1354099
-1.614051005,2.429639935
-0.681081306,0.265077573
0.451912953,2.18904472
0.991450291,-1.335010772
0.552600206,1.889501957
1.392068099,-1.257160069
-0.372073531,2.118261158
1.679181717,-0.721085149
-1.531273298,2.415528887
-0.441043399,0.306374291
0.74609873,2.149868034
0.711023665,-1.560702524
1.118274968,1.452822216
0.362768196,-0.926163557
1.603881726,1.598823771
-1.063606132,-1.438291644
0.749906514,0.091195941
0.518558381,0.928958508
1.35606916,0.762642112
-0.283356052,0.861726884
1.726530096,1.399328761
-1.665912987,-0.53769128
-0.857307053,1.215236529
0.165250721,1.071580742
1.115500083,1.121312686
0.205234781,0.46752131
1.69252871,1.581582392
-1.403082999,-1.052391257
-0.06088329,0.5750336
0.975368325,0.943769243
0.430391643,0.666302131
1.507373531,1.320909827
-0.743057469,-0.272989035
1.300077657,1.6550217
-0.513119155,-1.115524689
1.52673203,1.001550266
-1.084846438,-0.211278228
0.681127816,1.559852299
0.610610968,-0.383768853
1.231492591,1.919115399
0.066609289,-1.71192826
1.76501098,0.628295171
-1.695280973,0.120286312
-0.944474282,1.687581459
-0.000615962,0.897895117
1.116657336,1.519578526
0.152891606,-0.32136976
1.711621358,1.831849931
-1.48378019,-1.937559932
-0.288117246,-1.347386279
0.871854396,-0.254550592
0.553434739,1.080086182
1.355266308,0.452839714
-0.270716344,1.306461656
1.733292554,0.900481598
-1.685517979,0.591107299
-0.920983092,2.020516147
0.04613475,0.585386979
1.121576657,1.82762597
0.155906227,-1.093595681
1.712166246,1.46289022
-1.484741384,-1.2577515
-0.290807104,0.10846986
0.870008813,1.033429788
0.555842534,0.452383565
1.352041721,1.481040415
-0.261264055,-0.558418456
1.73735361,1.618767933
